videoId,url,title,channelTitle,publishedAt,license,thumbnail
f3kTTMZlxds,https://www.youtube.com/watch?v=f3kTTMZlxds,Fantastic Driver Slow Motion Swings of World Top 10,King of Golf,2023-04-22T23:40:13Z,creativeCommon,https://i.ytimg.com/vi/f3kTTMZlxds/hqdefault.jpg
c1wcpsZjyOs,https://www.youtube.com/watch?v=c1wcpsZjyOs,Fantastic Driver-Iron Slow Motion Swings of World Top 5,King of Golf,2023-05-01T01:45:23Z,creativeCommon,https://i.ytimg.com/vi/c1wcpsZjyOs/hqdefault.jpg
yrmaK1qu0eI,https://www.youtube.com/watch?v=yrmaK1qu0eI,PGA Top Rankers' Vairous Driver Swing Tracers,King of Golf,2022-11-11T23:33:34Z,creativeCommon,https://i.ytimg.com/vi/yrmaK1qu0eI/hqdefault.jpg
YcYTwW5n2tA,https://www.youtube.com/watch?v=YcYTwW5n2tA,PGA Distance Top 5 Powerful Swings & Slow MotionsㅣCameron ChampㅣRory McilroyㅣJon Rahm,King of Golf,2022-12-15T03:15:38Z,creativeCommon,https://i.ytimg.com/vi/YcYTwW5n2tA/hqdefault.jpg
5Kob6xPDzbI,https://www.youtube.com/watch?v=5Kob6xPDzbI,"World No. 1 ""Rory Mcilroy"" Driver-Wood-Iron Swing Slow Motions",God of Golf ,2023-02-04T00:17:57Z,creativeCommon,https://i.ytimg.com/vi/5Kob6xPDzbI/hqdefault.jpg
fIyq5AAZXHk,https://www.youtube.com/watch?v=fIyq5AAZXHk,The Best Swing for Senior Golfers | Simple & Repeatable,Top Speed Golf - Clay Ballard,2023-02-06T21:15:25Z,creativeCommon,https://i.ytimg.com/vi/fIyq5AAZXHk/hqdefault.jpg
tq0z_HRJ1VY,https://www.youtube.com/watch?v=tq0z_HRJ1VY,2023 LPGA Top 10 Fantastic Driver Slow Motion Swings,God of Golf ,2023-03-17T23:59:24Z,creativeCommon,https://i.ytimg.com/vi/tq0z_HRJ1VY/hqdefault.jpg
Hi6mbsiCJW4,https://www.youtube.com/watch?v=Hi6mbsiCJW4,How To FINISH Your Golf Swing LIKE A PRO!,Golf with Coach Carolin,2025-04-02T12:00:27Z,creativeCommon,https://i.ytimg.com/vi/Hi6mbsiCJW4/hqdefault.jpg
NCjdDw05ils,https://www.youtube.com/watch?v=NCjdDw05ils,5 Minutes of THIS Drill beat 1000 hours on the range!,Golf with Coach Carolin,2025-06-16T19:00:31Z,creativeCommon,https://i.ytimg.com/vi/NCjdDw05ils/hqdefault.jpg
lOl0ztU8tC4,https://www.youtube.com/watch?v=lOl0ztU8tC4,"Single Plane Golf Swing: Session 2 – The Grind Continues Good Results, Ugly Swing! #golf #golfswing",Chase-ing Golf,2024-10-27T09:00:47Z,creativeCommon,https://i.ytimg.com/vi/lOl0ztU8tC4/hqdefault.jpg
dXSFtohcZsE,https://www.youtube.com/watch?v=dXSFtohcZsE,Proper Golf Swing Release,Top Speed Golf - Clay Ballard,2024-09-01T13:37:24Z,creativeCommon,https://i.ytimg.com/vi/dXSFtohcZsE/hqdefault.jpg
zMy1oKLplt8,https://www.youtube.com/watch?v=zMy1oKLplt8,How to Move Your Hips at the Start of the Downswing,Top Speed Golf - Clay Ballard,2023-02-19T14:05:28Z,creativeCommon,https://i.ytimg.com/vi/zMy1oKLplt8/hqdefault.jpg
ABm9KOORrEk,https://www.youtube.com/watch?v=ABm9KOORrEk,Moe Norman - Most Consistent Swing in Golf,Graves Golf,2023-04-16T12:22:44Z,creativeCommon,https://i.ytimg.com/vi/ABm9KOORrEk/hqdefault.jpg
zN3klvf6zYo,https://www.youtube.com/watch?v=zN3klvf6zYo,Moe Norman - Bunker Shots,Graves Golf,2023-04-02T19:53:28Z,creativeCommon,https://i.ytimg.com/vi/zN3klvf6zYo/hqdefault.jpg
-ZjLevJg-i0,https://www.youtube.com/watch?v=-ZjLevJg-i0,Unlock Pro-Level Power!,Golf with Coach Carolin,2025-02-01T13:00:00Z,creativeCommon,https://i.ytimg.com/vi/-ZjLevJg-i0/hqdefault.jpg
S9lkNGG0MWU,https://www.youtube.com/watch?v=S9lkNGG0MWU,"LPGA Queen ""In Gee Chun"" Driver-Iron Slow Motion Swings",God of Golf ,2023-02-07T01:02:25Z,creativeCommon,https://i.ytimg.com/vi/S9lkNGG0MWU/hqdefault.jpg
Ab1cT2RFc-k,https://www.youtube.com/watch?v=Ab1cT2RFc-k,you can’t create lag if you don’t do THIS,Top Speed Golf - Clay Ballard,2023-01-26T14:30:21Z,creativeCommon,https://i.ytimg.com/vi/Ab1cT2RFc-k/hqdefault.jpg
xDX9Aj3nDiA,https://www.youtube.com/watch?v=xDX9Aj3nDiA,"LPGA ""Hyo Joo Kim"" Driver-Iron Slow Motion Swings",God of Golf ,2023-02-10T23:59:42Z,creativeCommon,https://i.ytimg.com/vi/xDX9Aj3nDiA/hqdefault.jpg
iEqvjsmrhzY,https://www.youtube.com/watch?v=iEqvjsmrhzY,Wyndham Clark: How to Hit a Draw With Your Driver,Titleist,2023-05-09T22:29:55Z,creativeCommon,https://i.ytimg.com/vi/iEqvjsmrhzY/hqdefault.jpg
S12rtdW316I,https://www.youtube.com/watch?v=S12rtdW316I,Moe Norman - Chipping Grip,Graves Golf,2023-04-08T05:14:29Z,creativeCommon,https://i.ytimg.com/vi/S12rtdW316I/hqdefault.jpg
